feature_name,feature_label_ko,feature_group,feature_group_ko,source_table,missing_all,missing_30d,missing_60d,missing_train,missing_valid,missing_test,constant_rate,baseline_candidate_by_missing
mkt_logret_lag_1d,시장 VWAP 로그수익률 1일 전 값,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.0009380863039399625,0.0,0.0,0.001851851851851852,0.0,0.0,0.053051643192488264,True
mkt_volume_lag_1d,시장 거래량 로그값 1일 전 값,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.00046904315196998124,0.0,0.0,0.000925925925925926,0.0,0.0,0.015016424213984044,True
mkt_market_vwap_lag_5d,시장 VWAP 5일 전 값,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.0023452157598499064,0.0,0.00048216007714561236,0.004629629629629629,0.0,0.0,0.019275975552421252,True
mkt_logret_lag_5d,시장 VWAP 로그수익률 5일 전 값,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.0028142589118198874,0.0,0.0009643201542912247,0.005555555555555556,0.0,0.0,0.05315145813734713,True
mkt_volume_lag_5d,시장 거래량 로그값 5일 전 값,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.0023452157598499064,0.0,0.00048216007714561236,0.004629629629629629,0.0,0.0,0.015044663845792195,True
mkt_market_vwap_lag_20d,시장 VWAP 20일 전 값,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.009380863039399626,0.0057306590257879654,0.006750241080038573,0.018518518518518517,0.0,0.0,0.019412878787878788,True
mkt_logret_lag_20d,시장 VWAP 로그수익률 20일 전 값,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.009849906191369606,0.0062082139446036294,0.007232401157184185,0.019444444444444445,0.0,0.0,0.05352913311226907,True
mkt_volume_lag_20d,시장 거래량 로그값 20일 전 값,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.009380863039399626,0.0057306590257879654,0.006750241080038573,0.018518518518518517,0.0,0.0,0.015151515151515152,True
mkt_market_vwap_lag_60d,시장 VWAP 60일 전 값,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.028142589118198873,0.024832855778414518,0.026036644165863067,0.05555555555555555,0.0,0.0,0.019787644787644786,True
mkt_logret_lag_60d,시장 VWAP 로그수익률 60일 전 값,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.028611632270168854,0.025310410697230182,0.02651880424300868,0.05648148148148148,0.0,0.0,0.05456301303718011,True
mkt_volume_lag_60d,시장 거래량 로그값 60일 전 값,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.028142589118198873,0.024832855778414518,0.026036644165863067,0.05555555555555555,0.0,0.0,0.015444015444015444,True
mkt_logret_mean_5d,시장 VWAP 로그수익률 5일 이동평균,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.0014071294559099437,0.0,0.0,0.002777777777777778,0.0,0.0,0.020666979802724285,True
mkt_logret_vol_5d,시장 VWAP 로그수익률 5일 이동 변동성,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.0014071294559099437,0.0,0.0,0.002777777777777778,0.0,0.0,0.004227336777829967,True
mkt_volume_mean_5d,시장 거래량 로그값 5일 이동평균,market_internal,시장 내부,data.processed.targets.market_vwap_targets,0.0009380863039399625,0.0,0.0,0.001851851851851852,0.0,0.0,0.0009389671361502347,True
